"Site_ID","Lake","Site","LID","Monitoring","Monitoring_ID","Lat","Lon","Site_size","DHT","Date_Time","Weather","Lake_water_clarity_m","Sediment_sample","Macrophyte_sample","Distance_deep_20m","Notes","Total_ weight_reef","Size_m2","Perimter_m","Size_km2","Perimter_km","Catchment_size_km2","Mean_depth_m","Max_depth_m","Volume_km3","Elevation_m","Mixing","TLI","Trophic_state","LakeSPI","Shear_stress","Bottom_visible","Water_clarity","Depth_10m","Slope","Riparian_vegetation","Riparian_species","Overhanging_trees","Erosion","Sructure","Bedrock","Boulders","Cobble","Gravel","Sand","Mud","Organic_matter","Turf","Rock_size","Temperature","DO_mgl","DO_percent","Connectivity","pH","Emergent_weed","Emergent_species","Submerged_weed","Submerged_species","Vegetation_nearby","Vegetation_species","Wood_cover","Other","Reef_shape","Distance_to_shore","Length","Width","Depth_on_R","Depth_on_L","Hight_top","Depth_after","Volume","Sedimentation","Accumulation_of_weeds","Reef_shape_2","Distance_to_shore_2","Length_2","Width_2","Depth_on_R_2","Depth_on_L_2","Hight_above","Depth_after_2","Volume_2","Sedimentation_2","Accumulation_of_weeds_2","Reef_shape_3","Distance_to_shore_3","Length_3","Width_3","Depth_on_R_3","Depth_on_L_3","Hight_above_2","Depth_after_3","Volume_3","Sedimentation_3","Accumulation_of_weeds_3","Wood_cover_2","Other_2","pH_2","Shear_stress_2","Total_Individuals_Bullies","Total_Individuals_Common_smelt","Total_Individuals_Kōaro","Total_Individuals_Morihana","Total_Individuals_Kōura","Total_Individuals_Catfish","Total_Individuals_Trout","Total_Individuals_Eel","Total_Individuals_Mosquitofish","Weighted_CPUE_Bullies","Weighted_CPUE_Common_smelt","Weighted_CPUE_Kōaro","Weighted_CPUE_Morihana","Weighted_CPUE_Kōura","Weighted_CPUE_Catfish","Weighted_CPUE_Trout","Weighted_CPUE_Eel","Weighted_CPUE_Mosquitofish","Weighted_BCUE_Bullies","Weighted_BCUE_Common_smelt","Weighted_BCUE_Kōaro","Weighted_BCUE_Morihana","Weighted_BCUE_Kōura","Weighted_BCUE_Catfish","Weighted_BCUE_Trout","Weighted_BCUE_Eel","Weighted_BCUE_Mosquitofish","Total_Weight_Bullies","Total_Weight_Common_smelt","Total_Weight_Kōaro","Total_Weight_Morihana","Total_Weight_Kōura","Total_Weight_Catfish","Total_Weight_Trout","Total_Weight_Eel","Total_Weight_Mosquitofish","Mean_Length_Bullies","Mean_Length_Common_smelt","Mean_Length_Kōaro","Mean_Length_Morihana","Mean_Length_Kōura","Mean_Length_Catfish","Mean_Length_Trout","Mean_Length_Eel","Mean_Length_Mosquitofish","Mean_Weight_Bullies","Mean_Weight_Common_smelt","Mean_Weight_Kōaro","Mean_Weight_Morihana","Mean_Weight_Kōura","Mean_Weight_Catfish","Mean_Weight_Trout","Mean_Weight_Eel","Mean_Weight_Mosquitofish","Min_Length_Bullies","Min_Length_Common_smelt","Min_Length_Kōaro","Min_Length_Morihana","Min_Length_Kōura","Min_Length_Catfish","Min_Length_Trout","Min_Length_Eel","Min_Length_Mosquitofish","Max_Length_Bullies","Max_Length_Common_smelt","Max_Length_Kōaro","Max_Length_Morihana","Max_Length_Kōura","Max_Length_Catfish","Max_Length_Trout","Max_Length_Eel","Max_Length_Mosquitofish","Min_Weight_Bullies","Min_Weight_Common_smelt","Min_Weight_Kōaro","Min_Weight_Morihana","Min_Weight_Kōura","Min_Weight_Catfish","Min_Weight_Trout","Min_Weight_Eel","Min_Weight_Mosquitofish","Max_Weight_Bullies","Max_Weight_Common_smelt","Max_Weight_Kōaro","Max_Weight_Morihana","Max_Weight_Kōura","Max_Weight_Catfish","Max_Weight_Trout","Max_Weight_Eel","Max_Weight_Mosquitofish","Weighted_CPUE_numerator_Bullies","Weighted_CPUE_numerator_Common_smelt","Weighted_CPUE_numerator_Kōaro","Weighted_CPUE_numerator_Morihana","Weighted_CPUE_numerator_Kōura","Weighted_CPUE_numerator_Catfish","Weighted_CPUE_numerator_Trout","Weighted_CPUE_numerator_Eel","Weighted_CPUE_numerator_Mosquitofish","Weighted_BCUE_numerator_Bullies","Weighted_BCUE_numerator_Common_smelt","Weighted_BCUE_numerator_Kōaro","Weighted_BCUE_numerator_Morihana","Weighted_BCUE_numerator_Kōura","Weighted_BCUE_numerator_Catfish","Weighted_BCUE_numerator_Trout","Weighted_BCUE_numerator_Eel","Weighted_BCUE_numerator_Mosquitofish","Total_Effort_sum_Bullies","Total_Effort_sum_Common_smelt","Total_Effort_sum_Kōaro","Total_Effort_sum_Morihana","Total_Effort_sum_Kōura","Total_Effort_sum_Catfish","Total_Effort_sum_Trout","Total_Effort_sum_Eel","Total_Effort_sum_Mosquitofish","Presence_Bullies","Presence_Eel","Presence_Morihana","Presence_Common_smelt","Presence_Kōaro","Presence_Kōura","Presence_Mosquitofish","Presence_Catfish","Presence_Trout"
3,"Lake Rotoiti","Impact",54730,0,"3_0",-38.0526673079263,176.47144524762,150,"Rocky",2025-02-04 03:00:00,"Sunny",3.5,1,1,163.768266763249,NA,3040,33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",3.8,"Mesotrophic",24.8,NA,"1",NA,"0.9","0.09","0",NA,"10","100","0","0","30","30","10","30","0","0","0",NA,"26","11.89","146.5","159.5","8.1199999999999992","0",NA,"0",NA,"0",NA,"0",NA,"Round","1600","2500","2200","420","450","170","580","1.1733333333333336","295","0","Round","2100","2400","2200","480","440","120","570","1.2056","295.75","0","Round","3000","2400","2500","530","500","190","620","1.46","383.25","0",NA,NA,NA,NA,2,19,4,6,2,0,0,1,0,0.5,4.75,1,1.5,0.5,0,0,0.25,0,755.25,6.25,5.25,54.75,12.25,0,0,0,0,3021,25,21,219,49,NA,NA,0,NA,NA,NA,77,117,30.85,NA,NA,600,NA,377.625,25,5.25,36.5,24.5,NA,NA,NA,NA,NA,NA,73,80,21.7,NA,NA,600,NA,NA,NA,85,204,40,NA,NA,600,NA,45,25,3,6,5,NA,NA,NA,NA,574,25,6,60,44,NA,NA,NA,NA,2,19,4,6,2,NA,NA,1,NA,3021,25,21,219,49,NA,NA,0,NA,4,4,4,4,4,NA,NA,4,NA,1,1,1,1,1,1,0,0,0
4,"Lake Rotoiti","Control",54730,0,"4_0",-38.0529135570371,176.470933127575,150,"Rocky",2025-02-04 03:30:00,"Sunny",3.5,1,1,179.82545515734,"New rocks as retainig wall/ dead swan in site",NA,33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",3.8,"Mesotrophic",24.8,NA,"1",NA,"0.2","0.02","70","Flax","0","0","0","0","20","20","0","60","0","0","0",NA,"25.8","11.54","141.69999999999999","159.1","9.08","0",NA,"0",NA,"0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14,7,3,2,0,0,0,0,0.5,3.5,1.75,0.75,0.5,0,0,0,0,515.25,2.75,8.75,20.25,7.25,0,0,0,0,2061,11,35,81,29,NA,NA,NA,NA,NA,NA,97,101,22.305,NA,NA,NA,NA,412.2,11,5.83333333333333,27,14.5,NA,NA,NA,NA,NA,NA,78,91,12.13,NA,NA,NA,NA,NA,NA,175,112,32.48,NA,NA,NA,NA,222,11,4,22,1,NA,NA,NA,NA,527,11,8,33,28,NA,NA,NA,NA,2,14,7,3,2,NA,NA,NA,NA,2061,11,35,81,29,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,NA,1,0,1,1,1,1,0,0,0
5,"Lake Rotoiti","Impact",54730,0,"5_0",-38.047698100528,176.341122568488,150,"Sandy",2025-02-04 12:50:00,"Sunny",3,1,1,1427.76371668429,"nets collepes first time",1980,33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",3.8,"Mesotrophic",24.8,NA,"1",NA,"0.4","0.04","100","grass","0","0","0","0","0","0","0","100","0","0","0",NA,"25.2","10.87","132.19999999999999","170.8","8.82","0",NA,"0",NA,"1","Three-leaved milfoil","0",NA,"Round","4700","2200","1900","360","345","85","365","0.68621666666666659","360","2","Round","5700","1500","1600","360","365","75","390","0.41599999999999998","343","0","Round","4200","1900","2000","330","330","75","380","0.61116666666666675","318.5","0",NA,NA,NA,NA,107,0,0,2,0,0,0,0,1,26.75,0,0,0.5,0,0,0,0,0.25,1074.5,0,0,92.5,0,0,0,0,0,4298,NA,NA,370,NA,NA,NA,NA,0,NA,NA,NA,182.5,NA,NA,NA,NA,NA,429.8,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,220,NA,NA,NA,NA,NA,44,NA,NA,86,NA,NA,NA,NA,NA,589,NA,NA,284,NA,NA,NA,NA,NA,107,NA,NA,2,NA,NA,NA,NA,1,4298,NA,NA,370,NA,NA,NA,NA,0,4,NA,NA,4,NA,NA,NA,NA,4,1,0,1,0,0,0,1,0,0
6,"Lake Rotoiti","Control",54730,0,"6_0",-38.0480187161085,176.341484639114,150,"Sandy",2025-02-04 12:30:00,"Sunny",3,1,1,1433.76093577721,"nets collepes first time",NA,33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",3.8,"Mesotrophic",24.8,NA,"1",NA,"0.5","0.05","80","grass+flax","5","0","0","0","0","0","0","100","0","0","0",NA,"25.6","10.24","125.4","170.9","8.51","0",NA,"0",NA,"1","Three-leaved milfoil","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,1,0,1,0,0,0,0,0,26.25,0.25,0,0.25,0,0,0,0,0,551.75,0,0,0.25,0,0,0,0,0,2207,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,140.5625,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,581,NA,NA,1,NA,NA,NA,NA,NA,105,1,NA,1,NA,NA,NA,NA,NA,2207,0,NA,1,NA,NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,0,0
7,"Lake Rotoiti","Impact",54730,0,"7_0",-38.0222760864304,176.348643537609,150,"Sandy",2025-02-04 11:30:00,"Sunny",3,1,1,1687.01869857311,NA,3700,33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",3.8,"Mesotrophic",24.8,NA,"1",NA,"0.6","0.06","10","Small trees","0","0","1","0","0","0","0","70","30","0","0",NA,"24.2","9.25","110.4","172","8.1199999999999992","30","Water lilies","10","Hornwort","0",NA,"0",NA,"Round","3500","2300","1700","450","430","135","420","0.7591916666666666","370.5","10","Round","3500","2300","1900","500","490","230","505","0.92134166666666673","342.5","5","Round","3440","2300","1800","455","480","175","500","0.86939999999999995","346.75","0",NA,NA,NA,NA,109,1,0,5,2,1,0,0,0,27.25,0.25,0,1.25,0.5,0.25,0,0,0,545.5,0,0,88,27.5,0.75,0,0,0,2182,0,NA,352,110,3,NA,NA,NA,NA,NA,NA,137.2,44.055,59,NA,NA,NA,184.333333333333,NA,NA,88,55,3,NA,NA,NA,NA,NA,NA,86,41.11,59,NA,NA,NA,NA,NA,NA,185,47,59,NA,NA,NA,6,NA,NA,51,44,3,NA,NA,NA,565,NA,NA,154,66,3,NA,NA,NA,109,1,NA,5,2,1,NA,NA,NA,2182,0,NA,352,110,3,NA,NA,NA,4,4,NA,4,4,4,NA,NA,NA,1,0,1,1,0,1,0,1,0
8,"Lake Rotoiti","Control",54730,0,"8_0",-38.0218725085535,176.348304238168,150,"Sandy",2025-02-04 11:00:00,"Sunny",3,1,1,1738.07490007139,NA,NA,33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",3.8,"Mesotrophic",24.8,NA,"1",NA,"0.6","0.06","0",NA,"0","0","1","0","0","0","0","100","0","0","0",NA,"24.1","8.65","103","172.1","8.11","10","Raupō","0",NA,"1","Hornwort","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,0,0,4,0,2,0,1,0,29.75,0,0,1,0,0.5,0,0.25,0,1190.75,0,0,121,0,123,0,0,0,4763,NA,NA,484,NA,492,NA,0,NA,NA,NA,NA,164.75,NA,214.5,NA,550,NA,229.681818181818,NA,NA,121,NA,246,NA,NA,NA,NA,NA,NA,136,NA,104,NA,550,NA,NA,NA,NA,210,NA,325,NA,550,NA,29,NA,NA,66,NA,15,NA,NA,NA,587,NA,NA,219,NA,477,NA,NA,NA,119,NA,NA,4,NA,2,NA,1,NA,4763,NA,NA,484,NA,492,NA,0,NA,4,NA,NA,4,NA,4,NA,4,NA,1,1,1,0,0,0,0,1,0
9,"Lake Rotoiti","Impact",54730,0,"9_0",-38.0400700989088,176.368333417899,150,"Sandy",2025-02-04 02:30:00,"Sunny",3,1,1,332.37012426407,NA,1920,33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",3.8,"Mesotrophic",24.8,NA,"1",NA,"0.5","0.05","100","Grass","0","0","0","0","0","0","0","90","0","0","10",NA,"26.6","8.3699999999999992","103.9","330.6","3.69","0",NA,"5","Red luwigia","0",NA,"0",NA,"Round","3900","1700","1500","470","490","200","500","0.53549999999999998","422.5","0","Round","4200","2000","1700","420","460","160","410","0.64033333333333342","401.25","0","Round","4400","2000","1800","450","480","190","490","0.73799999999999999","368.25","0","0",NA,NA,NA,6,16,0,11,0,0,0,0,0,1.5,4,0,2.75,0,0,0,0,0,701.25,3.5,0,569.25,0,0,0,0,0,2805,14,NA,2277,NA,NA,NA,NA,NA,NA,NA,NA,196.181818181818,NA,NA,NA,NA,NA,235.833333333333,14,NA,207,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,249,NA,NA,NA,NA,NA,5,14,NA,93,NA,NA,NA,NA,NA,610,14,NA,373,NA,NA,NA,NA,NA,6,16,NA,11,NA,NA,NA,NA,NA,2805,14,NA,2277,NA,NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,0,0
